id,title,type,genres,averageRating,numVotes,releaseYear
tt1355642,"Fullmetal Alchemist: Brotherhood",tvSeries,"Action, Adventure, Animation",9.1,207618,2009
tt8420184,"The Last Dance",tvMiniSeries,"Biography, Documentary, History",9.1,158765,2020
tt1831164,"Leyla and Mecnun",tvSeries,"Adventure, Comedy, Drama",9.1,97302,2011
tt28227737,"Sandeep Bhaiya",tvSeries,Drama,9.1,75872,2023
tt4742876,"TVF Pitchers",tvSeries,"Comedy, Drama",9.1,73336,2015
tt1533395,Life,tvMiniSeries,Documentary,9.1,43381,2009
tt1877514,"The Vietnam War",tvMiniSeries,"Documentary, History, War",9.1,28876,2017
tt10530900,Gullak,tvSeries,"Comedy, Drama, Family",9.1,24408,2019
tt9471962,Halka,tvSeries,"Action, Crime, Drama",9.1,18668,2019
tt7450814,Koombiyo,tvSeries,"Crime, Drama, Thriller",9.1,18045,2017
tt4834232,"Critical Role",tvSeries,"Adventure, Fantasy",9.1,13511,2015
tt13854248,"The Legend of Hanuman",tvSeries,"Action, Adventure, Animation",9.1,12899,2021
tt16747572,"The Silence of Swastika",movie,"Documentary, History",9.1,10572,2021
tt7923710,"My Mister",tvSeries,"Drama, Family",9.1,10520,2018
tt0468569,"The Dark Knight",movie,"Action, Crime, Drama",9,2942301,2008
tt0167260,"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",9,2026738,2003
tt0108052,"Schindler's List",movie,"Biography, Drama, History",9,1484836,1993
tt0071562,"The Godfather Part II",movie,"Crime, Drama",9,1394228,1974
tt0050083,"12 Angry Men",movie,"Crime, Drama",9,891876,1957
tt0386676,"The Office",tvSeries,Comedy,9,744142,2005
tt3032476,"Better Call Saul",tvSeries,"Crime, Drama",9,688062,2015
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9,295426,2021
tt0388629,"One Piece",tvSeries,"Action, Adventure, Animation",9,267318,1999
tt2098220,"Hunter x Hunter",tvSeries,"Action, Adventure, Animation",9,147495,2011
tt0103359,"Batman: The Animated Series",tvSeries,"Action, Adventure, Animation",9,121572,1992
tt12004706,Panchayat,tvSeries,"Comedy, Drama",9,98023,2020
tt0052520,"The Twilight Zone",tvSeries,"Drama, Fantasy, Horror",9,96340,1959
tt9432978,"Kota Factory",tvSeries,"Comedy, Drama",9,85523,2019
tt10541088,"Clarkson's Farm",tvSeries,"Comedy, Documentary, Reality-TV",9,65727,2021
tt0081912,"Only Fools and Horses",tvSeries,Comedy,9,57955,1981
tt7920978,Persona,tvSeries,"Crime, Drama, Mystery",9,48729,2018
tt14986406,"Bleach: Thousand-Year Blood War",tvSeries,"Action, Adventure, Animation",9,45756,2022
tt21279678,"NCR Days",tvSeries,Drama,9,43932,2022
tt0296310,"The Blue Planet",tvSeries,Documentary,9,43461,2001
tt2092588,"Frozen Planet",tvMiniSeries,Documentary,9,33532,2011
tt1806234,"Human Planet",tvMiniSeries,Documentary,9,28116,2011
tt8595766,"Yeh Meri Family",tvSeries,"Comedy, Drama, Family",9,26287,2018
tt0268093,Ramayan,tvSeries,"Adventure, Drama, Family",9,24697,1987
tt13675832,"As If",tvSeries,Comedy,9,24610,2021
tt4934214,Taskmaster,tvSeries,"Comedy, Game-Show",9,21463,2015
tt0098769,"The Civil War",tvMiniSeries,"Documentary, History, War",9,19132,1990
tt1508238,"Apocalypse: The Second World War",tvMiniSeries,"Documentary, History, War",9,14690,2009
tt5182866,"Reply 1988",tvSeries,"Comedy, Drama, Family",9,13361,2015
tt3212600,Mahabharat,tvSeries,"Drama, History, War",9,12244,2013
tt0110912,"Pulp Fiction",movie,"Crime, Drama",8.9,2273614,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",8.9,2056604,2001
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1115577,1994
tt2356777,"True Detective",tvSeries,"Crime, Drama, Mystery",8.9,675843,2014
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.9,432393,2014
tt0877057,"Death Note",tvSeries,"Animation, Crime, Drama",8.9,399354,2006
tt0098904,Seinfeld,tvSeries,Comedy,8.9,359844,1989
tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,285674,2002
tt1865718,"Gravity Falls",tvSeries,"Adventure, Animation, Comedy",8.9,145804,2012
tt0213338,"Cowboy Bebop",tvSeries,"Action, Adventure, Animation",8.9,145473,1998
tt0200276,"The West Wing",tvSeries,Drama,8.9,88033,1999
tt27719898,Kaiva,movie,"Action, Drama, Romance",8.9,68926,2023
tt2297757,"Nathan for You",tvSeries,"Comedy, Documentary",8.9,40297,2013
tt5354160,"Mirror Game",movie,"Crime, Mystery, Thriller",8.9,30103,2016
tt9735318,"The Beatles: Get Back",tvMiniSeries,"Biography, Documentary, Music",8.9,29378,2021
tt0092337,Dekalog,tvMiniSeries,Drama,8.9,28507,1989
tt1909015,Undercover,tvSeries,"Action, Crime, Drama",8.9,27859,2011
tt22248376,"Frieren: Beyond Journey's End",tvSeries,"Adventure, Animation, Drama",8.9,25996,2023
tt0253828,"Tosun Pasha",movie,"Comedy, History",8.9,25075,1976
tt0252488,"The Chaos Class Failed the Class",movie,Comedy,8.9,25054,1975
tt0158417,Mahabharat,tvSeries,"Action, Adventure, Drama",8.9,24029,1988
tt5275892,"O.J.: Made in America",movie,"Biography, Crime, Documentary",8.9,22670,2016
tt13868972,"Rocket Boys",tvSeries,"Drama, History",8.9,18503,2022
tt1518542,"Sarabhai V/S Sarabhai",tvSeries,Comedy,8.9,18460,2004
tt2571774,Africa,tvMiniSeries,Documentary,8.9,17402,2013
tt0075143,"The Message",movie,"Action, Adventure, Biography",8.9,10998,1976
